spec,window_years,delta,pvalue,in_mcs
Run 20  log+crude+GVZ+macro,4.5,1.0,0.8436,True
Run 20  log+crude+GVZ+macro,2.0,0.988,0.8421,True
Run 20  log+crude+GVZ+macro,1.0,0.994,0.8398,True
Run 18  log+GVZ+macro,3.25,0.999,0.8389,True
Run 19  log+SPX+GVZ+macro,1.75,0.989,0.8389,True
Run 18  log+GVZ+macro,1.25,1.0,0.8387,True
Run 20  log+crude+GVZ+macro,1.0,0.995,0.8387,True
Run 18  log+GVZ+macro,4.0,1.0,0.8382,True
Run 20  log+crude+GVZ+macro,2.5,0.998,0.8371,True
Run 18  log+GVZ+macro,2.25,0.999,0.8349,True
Run 19  log+SPX+GVZ+macro,1.25,0.991,0.8344,True
Run 20  log+crude+GVZ+macro,1.25,0.998,0.8344,True
Run 20  log+crude+GVZ+macro,1.0,0.993,0.8341,True
Run 20  log+crude+GVZ+macro,1.75,0.988,0.8233,True
Run 18  log+GVZ+macro,1.0,0.987,0.8228,True
Run 19  log+SPX+GVZ+macro,1.25,0.995,0.8228,True
Run 19  log+SPX+GVZ+macro,4.5,1.0,0.8228,True
Run 20  log+crude+GVZ+macro,1.0,0.996,0.8212,True
Run 19  log+SPX+GVZ+macro,3.5,0.999,0.8075,True
Run 20  log+crude+GVZ+macro,3.75,1.0,0.8068,True
Run 19  log+SPX+GVZ+macro,1.5,0.997,0.8066,True
Run 19  log+SPX+GVZ+macro,4.0,1.0,0.8058,True
Run 20  log+crude+GVZ+macro,1.25,0.989,0.8058,True
Run 20  log+crude+GVZ+macro,1.0,0.992,0.8022,True
Run 20  log+crude+GVZ+macro,3.25,0.999,0.7996,True
Run 19  log+SPX+GVZ+macro,2.75,0.998,0.7959,True
Run 19  log+SPX+GVZ+macro,2.0,0.998,0.7938,True
Run 19  log+SPX+GVZ+macro,1.5,0.989,0.7858,True
Run 20  log+crude+GVZ+macro,1.5,0.988,0.7828,True
Run 20  log+crude+GVZ+macro,1.0,0.997,0.779,True
Run 19  log+SPX+GVZ+macro,1.0,0.994,0.7777,True
Run 18  log+GVZ+macro,3.0,0.999,0.7751,True
Run 19  log+SPX+GVZ+macro,1.0,0.995,0.7751,True
Run 19  log+SPX+GVZ+macro,1.25,0.99,0.7751,True
Run 19  log+SPX+GVZ+macro,1.75,0.999,0.7751,True
Run 19  log+SPX+GVZ+macro,3.25,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,3.5,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,3.75,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,4.0,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,4.25,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,4.5,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,4.75,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,5.0,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,5.25,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,5.5,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,5.75,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,6.0,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,6.25,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,6.5,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,6.75,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,7.0,0.988,0.7751,True
Run 19  log+SPX+GVZ+macro,3.0,0.988,0.7741,True
Run 19  log+SPX+GVZ+macro,2.25,0.998,0.7731,True
Run 19  log+SPX+GVZ+macro,2.75,0.988,0.7731,True
Run 19  log+SPX+GVZ+macro,3.0,0.998,0.7727,True
Run 18  log+GVZ+macro,3.75,1.0,0.772,True
Run 19  log+SPX+GVZ+macro,1.0,0.993,0.772,True
Run 19  log+SPX+GVZ+macro,2.5,0.988,0.7715,True
Run 19  log+SPX+GVZ+macro,2.25,0.988,0.7648,True
Run 18  log+GVZ+macro,3.5,1.0,0.76,True
Run 20  log+crude+GVZ+macro,1.0,0.991,0.759,True
Run 19  log+SPX+GVZ+macro,2.0,0.988,0.7582,True
Run 19  log+SPX+GVZ+macro,1.0,0.996,0.756,True
Run 19  log+SPX+GVZ+macro,1.25,0.996,0.749,True
Run 20  log+crude+GVZ+macro,1.5,1.0,0.7474,True
Run 20  log+crude+GVZ+macro,2.25,0.999,0.7447,True
Run 19  log+SPX+GVZ+macro,1.0,0.992,0.7436,True
Run 19  log+SPX+GVZ+macro,3.75,1.0,0.7436,True
Run 18  log+GVZ+macro,2.5,0.999,0.7435,True
Run 18  log+GVZ+macro,1.5,1.0,0.7359,True
Run 19  log+SPX+GVZ+macro,1.75,0.988,0.7355,True
Run 20  log+crude+GVZ+macro,1.0,0.998,0.7321,True
Run 20  log+crude+GVZ+macro,3.5,1.0,0.7269,True
Run 19  log+SPX+GVZ+macro,1.0,0.997,0.7267,True
Run 19  log+SPX+GVZ+macro,3.25,0.999,0.7267,True
Run 20  log+crude+GVZ+macro,2.75,0.999,0.7267,True
Run 20  log+crude+GVZ+macro,3.5,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,3.75,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,4.0,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,4.25,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,4.5,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,4.75,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,5.0,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,5.25,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,5.5,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,5.75,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,6.0,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,6.25,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,6.5,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,6.75,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,7.0,0.987,0.7267,True
Run 20  log+crude+GVZ+macro,3.25,0.987,0.7263,True
Run 20  log+crude+GVZ+macro,3.0,0.987,0.7245,True
Run 20  log+crude+GVZ+macro,1.25,0.999,0.7237,True
Run 20  log+crude+GVZ+macro,2.75,0.987,0.7237,True
Run 20  log+crude+GVZ+macro,2.5,0.987,0.7218,True
Run 18  log+GVZ+macro,2.0,1.0,0.7185,True
Run 20  log+crude+GVZ+macro,2.25,0.987,0.7185,True
Run 19  log+SPX+GVZ+macro,1.5,0.998,0.7142,True
Run 20  log+crude+GVZ+macro,2.0,0.987,0.7142,True
Run 19  log+SPX+GVZ+macro,1.0,0.991,0.7114,True
Run 19  log+SPX+GVZ+macro,1.25,0.989,0.7114,True
Run 19  log+SPX+GVZ+macro,2.5,0.998,0.7114,True
Run 20  log+crude+GVZ+macro,2.0,1.0,0.7089,True
Run 19  log+SPX+GVZ+macro,3.5,1.0,0.7074,True
Run 20  log+crude+GVZ+macro,1.25,0.988,0.7074,True
Run 18  log+GVZ+macro,2.75,1.0,0.7011,True
Run 20  log+crude+GVZ+macro,1.0,0.99,0.6998,True
Run 19  log+SPX+GVZ+macro,1.5,0.988,0.6945,True
Run 20  log+crude+GVZ+macro,1.75,0.987,0.6912,True
Run 19  log+SPX+GVZ+macro,1.0,0.998,0.6832,True
Run 18  log+GVZ+macro,3.25,1.0,0.678,True
Run 19  log+SPX+GVZ+macro,1.75,1.0,0.6713,True
Run 20  log+crude+GVZ+macro,3.0,0.999,0.6642,True
Run 20  log+crude+GVZ+macro,1.0,0.999,0.662,True
Run 19  log+SPX+GVZ+macro,2.0,0.999,0.6499,True
Run 20  log+crude+GVZ+macro,1.5,0.987,0.6496,True
Run 19  log+SPX+GVZ+macro,1.25,0.997,0.649,True
Run 19  log+SPX+GVZ+macro,1.0,0.99,0.6439,True
Run 18  log+GVZ+macro,2.25,1.0,0.6436,True
Run 19  log+SPX+GVZ+macro,2.75,0.999,0.6415,True
Run 19  log+SPX+GVZ+macro,3.0,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,3.25,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,3.5,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,3.75,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,4.0,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,4.25,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,4.5,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,4.75,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,5.0,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,5.25,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,5.5,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,5.75,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,6.0,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,6.25,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,6.5,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,6.75,0.987,0.6415,True
Run 19  log+SPX+GVZ+macro,7.0,0.987,0.6415,True
Run 20  log+crude+GVZ+macro,3.25,1.0,0.6415,True
Run 19  log+SPX+GVZ+macro,2.75,0.987,0.6403,True
Run 19  log+SPX+GVZ+macro,2.5,0.987,0.6356,True
Run 19  log+SPX+GVZ+macro,2.25,0.987,0.6296,True
Run 19  log+SPX+GVZ+macro,2.0,0.987,0.6211,True
Run 19  log+SPX+GVZ+macro,1.0,0.999,0.618,True
Run 20  log+crude+GVZ+macro,2.5,0.999,0.6106,True
Run 20  log+crude+GVZ+macro,1.0,0.989,0.606,True
Run 19  log+SPX+GVZ+macro,1.25,0.988,0.5966,True
Run 19  log+SPX+GVZ+macro,1.75,0.987,0.5946,True
Run 19  log+SPX+GVZ+macro,2.25,0.999,0.5896,True
Run 19  log+SPX+GVZ+macro,3.0,0.999,0.5705,True
Run 18  log+GVZ+macro,3.0,1.0,0.5668,True
Run 20  log+crude+GVZ+macro,1.0,1.0,0.566,True
Run 19  log+SPX+GVZ+macro,1.0,0.989,0.5588,True
Run 19  log+SPX+GVZ+macro,1.5,0.999,0.5588,True
Run 19  log+SPX+GVZ+macro,3.25,1.0,0.5588,True
Run 20  log+crude+GVZ+macro,1.25,0.987,0.5588,True
Run 20  log+crude+GVZ+macro,1.25,1.0,0.5588,True
Run 19  log+SPX+GVZ+macro,1.5,0.987,0.5521,True
Run 19  log+SPX+GVZ+macro,1.0,1.0,0.5366,True
Run 18  log+GVZ+macro,2.5,1.0,0.521,True
Run 20  log+crude+GVZ+macro,2.75,1.0,0.4986,True
Run 20  log+crude+GVZ+macro,2.25,1.0,0.4975,True
Run 20  log+crude+GVZ+macro,1.0,0.988,0.4955,True
Run 19  log+SPX+GVZ+macro,1.25,0.998,0.4908,True
Run 19  log+SPX+GVZ+macro,1.25,0.987,0.4662,True
Run 19  log+SPX+GVZ+macro,2.0,1.0,0.4654,True
Run 19  log+SPX+GVZ+macro,2.5,0.999,0.4654,True
Run 19  log+SPX+GVZ+macro,1.0,0.988,0.4539,True
Run 19  log+SPX+GVZ+macro,2.75,1.0,0.4157,True
Run 20  log+crude+GVZ+macro,3.0,1.0,0.4152,True
Run 19  log+SPX+GVZ+macro,1.5,1.0,0.3678,True
Run 20  log+crude+GVZ+macro,1.0,0.987,0.3678,True
Run 19  log+SPX+GVZ+macro,3.0,1.0,0.3435,True
Run 19  log+SPX+GVZ+macro,2.25,1.0,0.3433,True
Run 19  log+SPX+GVZ+macro,1.0,0.987,0.34,True
Run 20  log+crude+GVZ+macro,2.5,1.0,0.3098,True
Run 19  log+SPX+GVZ+macro,1.25,0.999,0.2959,True
Run 19  log+SPX+GVZ+macro,2.5,1.0,0.2417,True
Run 19  log+SPX+GVZ+macro,1.25,1.0,0.1522,True
